"","Date","Mosquito_Total","WNV_Detections","Precip_1","Precip_2","Precip_Total","Precip_Avg","Log_Precip"
"58",2009-09-25,702,1,0.16,0.02,0.18,0.09,0.0374264979406237
"59",2009-10-01,212,0,0.89,0.59,1.48,0.74,0.2405492482826
"60",2011-06-10,429,0,0.52,0.44,0.96,0.48,0.170261715394957
"61",2011-06-17,830,0,0,0,0,0,0
"62",2011-06-24,846,0,0,0,0,0,0
"63",2011-06-30,1944,0,0,0.03,0.03,0.015,0.00646604224923168
"64",2011-07-11,2091,0,0.39,0.13,0.52,0.26,0.100370545117563
"65",2011-07-15,2497,0,0,0,0,0,0
"66",2011-07-25,2449,3,0,0.01,0.01,0.005,0.00216606175650763
"67",2011-07-29,1408,8,0.7,0.36,1.06,0.53,0.184691430817599
"68",2011-08-05,1065,5,0,0,0,0,0
"69",2011-08-12,824,11,0,0,0,0,0
"70",2011-08-19,589,4,0,0,0,0,0
"71",2011-08-26,490,4,0,0,0,0,0
"72",2011-09-01,319,4,0,0,0,0,0
"73",2011-09-02,551,3,0,0,0,0,0
"74",2011-09-12,734,6,0,0,0,0,0
"75",2011-09-16,821,3,0,0,0,0,0
"76",2011-09-23,728,6,0,0.02,0.02,0.01,0.00432137378264258
"77",2011-09-30,184,0,0.09,0.17,0.26,0.13,0.0530784434834197
"78",2013-06-07,360,0,0,0,0,0,0
"79",2013-06-14,1670,0,0,0,0,0,0
"80",2013-06-21,1319,0,0.79,0.11,0.9,0.45,0.161368002234975
"81",2013-06-27,439,0,0.92,0.59,1.51,0.755,0.244277120801843
"82",2013-06-28,923,1,0,0.16,0.16,0.08,0.0334237554869497
"83",2013-07-08,1833,0,0.5,0.84,1.34,0.67,0.222716471147583
"84",2013-07-12,4796,7,0,0,0,0,0
"85",2013-07-19,4168,15,0.58,0,0.58,0.29,0.110589710299249
"86",2013-07-25,1974,2,0,0,0,0,0
"87",2013-08-01,2865,22,0,0,0,0,0
"88",2013-08-08,3188,34,0,0,0,0,0
"89",2013-08-15,1946,20,0,0,0,0,0
"90",2013-08-22,2063,30,0.23,0.36,0.59,0.295,0.112269768417271
"91",2013-08-29,2645,38,0,0,0,0,0
"92",2013-09-06,2510,32,0,0,0,0,0
"93",2013-09-12,2210,23,0,0.06,0.06,0.03,0.0128372247051722
"94",2013-09-19,1030,11,0.84,0,0.84,0.42,0.152288344383056
"95",2013-09-26,505,4,0,0,0,0,0
